primary_type,crime_count
THEFT,11002
BATTERY,9085
CRIMINAL DAMAGE,5320
ASSAULT,4413
MOTOR VEHICLE THEFT,4040
OTHER OFFENSE,3629
DECEPTIVE PRACTICE,2863
BURGLARY,2835
NARCOTICS,1575
CRIMINAL TRESPASS,1264
ROBBERY,974
WEAPONS VIOLATION,972
OFFENSE INVOLVING CHILDREN,379
CRIMINAL SEXUAL ASSAULT,362
SEX OFFENSE,285
PUBLIC PEACE VIOLATION,248
INTERFERENCE WITH PUBLIC OFFICER,237
STALKING,125
HOMICIDE,96
ARSON,77
INTIMIDATION,63
LIQUOR LAW VIOLATION,43
CONCEALED CARRY LICENSE VIOLATION,39
PROSTITUTION,30
KIDNAPPING,26
PUBLIC INDECENCY,8
OBSCENITY,7
HUMAN TRAFFICKING,3
