primary_type,crime_count,avg_risk_score
THEFT,11002,4.335
BATTERY,9085,4.366
CRIMINAL DAMAGE,5320,4.435
ASSAULT,4413,4.256
MOTOR VEHICLE THEFT,4040,4.933
OTHER OFFENSE,3629,4.132
DECEPTIVE PRACTICE,2863,4.225
BURGLARY,2835,4.841
NARCOTICS,1575,4.282
CRIMINAL TRESPASS,1264,4.372
ROBBERY,974,5.541
WEAPONS VIOLATION,972,4.388
OFFENSE INVOLVING CHILDREN,379,4.287
CRIMINAL SEXUAL ASSAULT,362,5.671
SEX OFFENSE,285,4.32
PUBLIC PEACE VIOLATION,248,4.481
INTERFERENCE WITH PUBLIC OFFICER,237,4.469
STALKING,125,4.284
HOMICIDE,96,5.412
ARSON,77,4.528
INTIMIDATION,63,4.058
LIQUOR LAW VIOLATION,43,4.325
CONCEALED CARRY LICENSE VIOLATION,39,4.199
PROSTITUTION,30,4.882
KIDNAPPING,26,3.938
PUBLIC INDECENCY,8,4.568
OBSCENITY,7,4.029
HUMAN TRAFFICKING,3,4.501
